Barcode_ID,Product_Name,Kalori_100g (Kcal),Ingredients
8693275000107,COTANAK AYCICEK YAGI 1LT.,884.0,%100 Rafine Ayçiçek Yağı
8693855001609,FRESA FRESHER MADEN SUYU 250ML.MANDALIN,44.8,"Doğal Zengin Mineralli Su, Karbondioksit (Meyveli ise: Şeker, Doğal Meyve Aroması, Sitrik Asit)"
8693855001548,FRESA FRESHER MADEN SUYU 250ML.NAR,44.8,"Doğal Zengin Mineralli Su, Karbondioksit (Meyveli ise: Şeker, Doğal Meyve Aroması, Sitrik Asit)"
8690380004006,IRMAK 5KG TOZ SEKER,387.0,Şeker Pancarından Üretilmiş Kristal / Küp Şeker
8693835060046,ISIL SALAMURA TUZU 3000GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
7622210197863,KENT JELIBON 90GR.MINNIE MOUSE,450.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8692813003914,KIZILAY SODA 200ML.MANDALINA,45.0,"Doğal Zengin Mineralli Su, Karbondioksit (Meyveli ise: Şeker, Doğal Meyve Aroması, Sitrik Asit)"
8692813002023,KIZILAY SODA 200ML.NAR,45.0,"Doğal Zengin Mineralli Su, Karbondioksit (Meyveli ise: Şeker, Doğal Meyve Aroması, Sitrik Asit)"
8692813003792,KIZILAY SODA 200ML.VıSNE,45.0,"Doğal Zengin Mineralli Su, Karbondioksit (Meyveli ise: Şeker, Doğal Meyve Aroması, Sitrik Asit)"
8690681205454,MARET SALAM 250GR.YORE HINDI,300.0,"Et Karışımı (Dana/Piliç), Dana Yağı, Tuz, Baharat Karışımı, Sarımsak, Stabilizör, Antioksidan (Askorbik Asit), Koruyucu (Sodyum Nitrit E250)"
860946110004,MUTLU MAKARNA 500GR. FıYONK,350.0,"Durum Buğdayı İrmiği (Glüten içerir), Su"
8690632013855,NESTLE COFFEE MATE 625GR.EKO PK,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690828000300,OBA MAKARNA 500GR.BONCUK,350.0,"Durum Buğdayı İrmiği (Glüten içerir), Su"
8690828000898,OBA MAKARNA 500GR.ERISTE,350.0,"Durum Buğdayı İrmiği (Glüten içerir), Su"
8690828000232,OBA MAKARNA 500GR.YILDIZ SEHRIYE,350.0,"Durum Buğdayı İrmiği (Glüten içerir), Su"
8690504182962,OBACAY FILIZIM 500GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690368025016,OFCAY DOSTANE 1000GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690368029168,OFCAY HAZINE CAY 1000GR.,0.0,%100 Siyah Çay Yaprakları
8690368024026,OFCAY SAHANE 1000GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690368024019,OFCAY SAHANE 500GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690368043034,OFCAY TıRYAKıSıNE 500GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690368043027,OFCAY ZEVKINE 1000GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690368043010,OFCAY ZEVKıNE 500GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8692473000018,SAFFET ABDULLAH PEYNIR TATLISI 150GR.,300.0,"Pastörize İnek Sütü, Peynir Mayası, Tuz, Peynir Kültürü"
8692473000032,SAFFET ABDULLAH SEKERPARE 250GR.,387.2,Bilinmiyor (Görüntü İşleme ile Taranacak)
8697434841211,SAHIN SUCUK 250GR.ACISIZ VAKUMLU KANGAL,300.0,"Et Karışımı (Dana/Piliç), Dana Yağı, Tuz, Baharat Karışımı, Sarımsak, Stabilizör, Antioksidan (Askorbik Asit), Koruyucu (Sodyum Nitrit E250)"
8690890001779,SELVA MAKARNA SIPSAK 350GR.BURGU,350.0,"Durum Buğdayı İrmiği (Glüten içerir), Su"
8698529307100,SEYıDOGLU BAL-TAHıN KARıSıMı 200GR.,280.0,%100 Doğal Çiçek/Çam Balı
8698529302334,SEYSU RECEL 500GR. GUL,280.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8692806009114,SIMSEK TIO CORNET 25GR.SUTLU-KAKAOLU,60.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8692806724352,SIMSEK TIO NEXT SUT DILIMI 40GR.,60.0,Pastörize / UHT İnek Sütü
8690575940614,TAMEK MEYVE SUYU 330ML.KAHVALTIM KAN PO,50.0,"Su, Meyve Püresi/Konsantresi, Şeker, Asitliği Düzenleyici (Sitrik Asit)"
8698613210002,TERCIH YUMURTALI KOY ERISTESI 350GR.,350.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690120060408,TORKU 1 DAHA GOFRET 41GR.,448.8,"Buğday Unu (Glüten), Şeker, Bitkisel Yağ (Palm, Ayçiçek, Pamuk, Kanola), Nişasta, Kabartıcılar (Amonyum Bikarbonat, Sodyum Bikarbonat), Aroma Vericiler, Tuz, Emülgatör (Soya Lesitini)"
8697435270010,TUNCAYLAR KIRMIZI SOGAN 1KG.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
6191542200028,TUNUS SODAT HURMA 350GR.,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690504643234,U.BIZIM MAKARNA 500GR.KELEBEK,350.0,"Durum Buğdayı İrmiği (Glüten içerir), Su"
8690504050278,U.COKOMILK 5X20GR.SUTLU NUGA,60.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
86908818,YURT FASULYE PILAKI 200GR.,350.0,%100 Bakliyat / Tahıl
8691004157030,YURT HASLANMIS FASULYE 820GR.,350.0,%100 Bakliyat / Tahıl
8691004157054,YURT HASLANMIS NOHUT 820GR.,350.0,%100 Bakliyat / Tahıl
8697992760061,10KG BALDO PIRINÇ,280.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8696563000063,10lt guven su,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8698758590120,10LT ULUDAG SU,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
692121995161,19 lt. kay su,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8697431463119,1kg BADE ŞOKOLA,40.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690068000580,1KG BALKAYMAK BAL,280.0,%100 Doğal Çiçek/Çam Balı
8697413343095,1KG BIZDEN RIZE ÇAYI,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8691941001021,1KG ÇAY FILIZI ULUSO,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8696735000020,1KG ÇAYMAR ÇAY,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8697659760670,1KG GOÇEROGLU PEYNIR,300.0,"Pastörize İnek Sütü, Peynir Mayası, Tuz, Peynir Kültürü"
8697045001059,1KG HAŞMET RIZE ÇAYI,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8695471123840,1KG OBAÇAY SIYAHÇAY,0.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8690830002118,1KG TOZŞEKER KARDEM,387.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8697407831416,1LT HELİN SÜT,60.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
8698811590029,1LT MİS SUT,60.0,Pastörize / UHT İnek Sütü
8690380000305,2KG KARDEM TOZ ŞEKER,387.0,Bilinmiyor (Görüntü İşleme ile Taranacak)
